accession	tree_id	uniprot_id	protein_name	organism	genus	length	reviewed	source_queries	enzyme_class	reference_label	taxonomic_lineage	taxon_domain
A0ABV9U3N1	tr|A0ABV9U3N1|A0ABV9U3N1_9ACTN	A0ABV9U3N1_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura gamaensis	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABV9U3U3	tr|A0ABV9U3U3|A0ABV9U3U3_9ACTN	A0ABV9U3U3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura gamaensis	Actinomadura	337	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABV9U430	tr|A0ABV9U430|A0ABV9U430_9ACTN	A0ABV9U430_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura gamaensis	Actinomadura	284	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW1A748	tr|A0ABW1A748|A0ABW1A748_9ACTN	A0ABW1A748_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura rugatobispora	Actinomadura	282	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW1ACU7	tr|A0ABW1ACU7|A0ABW1ACU7_9ACTN	A0ABW1ACU7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rugatobispora	Actinomadura	306	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW1AIT3	tr|A0ABW1AIT3|A0ABW1AIT3_9ACTN	A0ABW1AIT3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura rugatobispora	Actinomadura	290	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW1BVW6	tr|A0ABW1BVW6|A0ABW1BVW6_9ACTN	A0ABW1BVW6_9ACTN	cutinase (EC 3.1.1.74)	Nonomuraea harbinensis	Nonomuraea	302	unreviewed	petase	Cutinase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW1CC56	tr|A0ABW1CC56|A0ABW1CC56_9ACTN	A0ABW1CC56_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea insulae	Nonomuraea	300	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW1CGM7	tr|A0ABW1CGM7|A0ABW1CGM7_9ACTN	A0ABW1CGM7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea insulae	Nonomuraea	296	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW1D4K0	tr|A0ABW1D4K0|A0ABW1D4K0_9ACTN	A0ABW1D4K0_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea insulae	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW1NJ96	tr|A0ABW1NJ96|A0ABW1NJ96_9ACTN	A0ABW1NJ96_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Sphaerisporangium aureirubrum	Sphaerisporangium	295	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Sphaerisporangium (genus)	Bacteria
A0ABW2CM09	tr|A0ABW2CM09|A0ABW2CM09_9ACTN	A0ABW2CM09_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura yumaensis	Actinomadura	283	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW2CTX2	tr|A0ABW2CTX2|A0ABW2CTX2_9ACTN	A0ABW2CTX2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura yumaensis	Actinomadura	267	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW2CZA0	tr|A0ABW2CZA0|A0ABW2CZA0_9ACTN	A0ABW2CZA0_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura yumaensis	Actinomadura	313	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW2PE71	tr|A0ABW2PE71|A0ABW2PE71_9ACTN	A0ABW2PE71_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Sphaerisporangium rhizosphaerae	Sphaerisporangium	285	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Sphaerisporangium (genus)	Bacteria
A0ABW2SV52	tr|A0ABW2SV52|A0ABW2SV52_9ACTN	A0ABW2SV52_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium amethystogenes subsp. fukuiense	Streptosporangium	300	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus), Streptosporangium amethystogenes (species)	Bacteria
A0ABW2SVA4	tr|A0ABW2SVA4|A0ABW2SVA4_9ACTN	A0ABW2SVA4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium amethystogenes subsp. fukuiense	Streptosporangium	291	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus), Streptosporangium amethystogenes (species)	Bacteria
A0ABW2SY79	tr|A0ABW2SY79|A0ABW2SY79_9ACTN	A0ABW2SY79_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptosporangium amethystogenes subsp. fukuiense	Streptosporangium	314	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus), Streptosporangium amethystogenes (species)	Bacteria
A0ABW2TCC5	tr|A0ABW2TCC5|A0ABW2TCC5_9ACTN	A0ABW2TCC5_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium amethystogenes subsp. fukuiense	Streptosporangium	266	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus), Streptosporangium amethystogenes (species)	Bacteria
A0ABW2XQE4	tr|A0ABW2XQE4|A0ABW2XQE4_9ACTN	A0ABW2XQE4_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fibrosa	Actinomadura	313	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW2Y2H3	tr|A0ABW2Y2H3|A0ABW2Y2H3_9ACTN	A0ABW2Y2H3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura fibrosa	Actinomadura	269	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW2Y2K9	tr|A0ABW2Y2K9|A0ABW2Y2K9_9ACTN	A0ABW2Y2K9_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura fibrosa	Actinomadura	310	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW3BH01	tr|A0ABW3BH01|A0ABW3BH01_9ACTN	A0ABW3BH01_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptomonospora algeriensis	Streptomonospora	277	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Streptomonospora (genus)	Bacteria
A0ABW3BHY7	tr|A0ABW3BHY7|A0ABW3BHY7_9ACTN	A0ABW3BHY7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Streptomonospora algeriensis	Streptomonospora	317	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Streptomonospora (genus)	Bacteria
A0ABW3CKK1	tr|A0ABW3CKK1|A0ABW3CKK1_9ACTN	A0ABW3CKK1_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Actinomadura adrarensis	Actinomadura	265	unreviewed	actinomadura,ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW3DN90	tr|A0ABW3DN90|A0ABW3DN90_9ACTN	A0ABW3DN90_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Streptosporangium algeriense	Streptosporangium	285	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Streptosporangium (genus)	Bacteria
A0ABW3EGR7	tr|A0ABW3EGR7|A0ABW3EGR7_9ACTN	A0ABW3EGR7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura sediminis	Actinomadura	307	unreviewed	actinomadura,ec_cutinase,ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW3EHY5	tr|A0ABW3EHY5|A0ABW3EHY5_9ACTN	A0ABW3EHY5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura sediminis	Actinomadura	308	unreviewed	actinomadura,ec_petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW3EQF3	tr|A0ABW3EQF3|A0ABW3EQF3_9ACTN	A0ABW3EQF3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Actinomadura sediminis	Actinomadura	279	unreviewed	actinomadura,ec_petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	Bacteria
A0ABW4SKE7	tr|A0ABW4SKE7|A0ABW4SKE7_9ACTN	A0ABW4SKE7_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea mangrovi	Nonomuraea	282	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW4SNQ3	tr|A0ABW4SNQ3|A0ABW4SNQ3_9ACTN	A0ABW4SNQ3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea mangrovi	Nonomuraea	275	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW5EHM2	tr|A0ABW5EHM2|A0ABW5EHM2_9GAMM	A0ABW5EHM2_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Microbulbifer halophilus	Microbulbifer	272	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Cellvibrionales (order), Microbulbiferaceae (family), Microbulbifer (genus)	Bacteria
A0ABW6NKE0	tr|A0ABW6NKE0|A0ABW6NKE0_9NOCA	A0ABW6NKE0_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia africana	Nocardia	322	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Nocardia (genus)	Bacteria
A0ABW6NYV4	tr|A0ABW6NYV4|A0ABW6NYV4_9NOCA	A0ABW6NYV4_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia aobensis	Nocardia	322	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Nocardia (genus)	Bacteria
A0ABW6QPJ9	tr|A0ABW6QPJ9|A0ABW6QPJ9_9NOCA	A0ABW6QPJ9_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia suismassiliense	Nocardia	323	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Nocardia (genus)	Bacteria
A0ABW6SQH1	tr|A0ABW6SQH1|A0ABW6SQH1_9ACTN	A0ABW6SQH1_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Microtetraspora malaysiensis	Microtetraspora	285	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Microtetraspora (genus)	Bacteria
A0ABW6V0T4	tr|A0ABW6V0T4|A0ABW6V0T4_MICFU	A0ABW6V0T4_MICFU	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Microtetraspora fusca	Microtetraspora	285	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Microtetraspora (genus)	Bacteria
A0ABW7YQ16	tr|A0ABW7YQ16|A0ABW7YQ16_9ACTN	A0ABW7YQ16_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea typhae	Nonomuraea	278	unreviewed	ec_petase,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW7Z7B4	tr|A0ABW7Z7B4|A0ABW7Z7B4_9ACTN	A0ABW7Z7B4_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea typhae	Nonomuraea	274	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW8A0E3	tr|A0ABW8A0E3|A0ABW8A0E3_9ACTN	A0ABW8A0E3_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea indica	Nonomuraea	271	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABW9FX93	tr|A0ABW9FX93|A0ABW9FX93_9NOCA	A0ABW9FX93_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Prescottella soli	Prescottella	334	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Prescottella (genus)	Bacteria
A0ABX1B1C3	tr|A0ABX1B1C3|A0ABX1B1C3_9ACTN	A0ABX1B1C3_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea composti	Nonomuraea	303	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABX1BJM1	tr|A0ABX1BJM1|A0ABX1BJM1_9ACTN	A0ABX1BJM1_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nonomuraea composti	Nonomuraea	300	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	Bacteria
A0ABX8BMQ5	tr|A0ABX8BMQ5|A0ABX8BMQ5_9ACTN	A0ABX8BMQ5_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nocardiopsis changdeensis	Nocardiopsis	312	unreviewed	ec_cutinase,ec_petase,nocardiopsis,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	Bacteria
A0ABX8BSA1	tr|A0ABX8BSA1|A0ABX8BSA1_9ACTN	A0ABX8BSA1_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nocardiopsis changdeensis	Nocardiopsis	279	unreviewed	ec_petase,nocardiopsis,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	Bacteria
A0ABX8C4W7	tr|A0ABX8C4W7|A0ABX8C4W7_9ACTN	A0ABX8C4W7_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nocardiopsis akebiae	Nocardiopsis	311	unreviewed	ec_petase,nocardiopsis,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	Bacteria
A0ABX8C9P2	tr|A0ABX8C9P2|A0ABX8C9P2_9ACTN	A0ABX8C9P2_9ACTN	poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (Poly(ethylene terephthalate) hydrolase)	Nocardiopsis akebiae	Nocardiopsis	281	unreviewed	ec_petase,nocardiopsis,pet_hydrolase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus)	Bacteria
A0ABX8CQK4	tr|A0ABX8CQK4|A0ABX8CQK4_9NOCA	A0ABX8CQK4_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Nocardia tengchongensis	Nocardia	322	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Nocardia (genus)	Bacteria
A0ABX8TX11	tr|A0ABX8TX11|A0ABX8TX11_9ACTN	A0ABX8TX11_9ACTN	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Nonomuraea coxensis DSM 45129	Nonomuraea	300	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus), Nonomuraea coxensis (species)	Bacteria
A0ABY2RG97	tr|A0ABY2RG97|A0ABY2RG97_9NOCA	A0ABY2RG97_9NOCA	PET hydrolase/cutinase-like domain-containing protein	Rhodococcus oryzae	Rhodococcus	334	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Nocardiaceae (family), Rhodococcus (genus)	Bacteria
A0ABY2UDA5	tr|A0ABY2UDA5|A0ABY2UDA5_9GAMM	A0ABY2UDA5_9GAMM	PET hydrolase/cutinase-like domain-containing protein	Microbulbifer harenosus	Microbulbifer	296	unreviewed	pet_hydrolase	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Cellvibrionales (order), Microbulbiferaceae (family), Microbulbifer (genus)	Bacteria
A0ABY4KWB4	tr|A0ABY4KWB4|A0ABY4KWB4_THEAE	A0ABY4KWB4_THEAE	Poly(ethylene terephthalate) hydrolase (EC 3.1.1.101) (EC 3.1.1.74)	Thermobifida alba (Thermomonospora alba)	Thermobifida	300	unreviewed	ec_petase,petase,polyethylene_terephthalate_hydrolase,thermobifida	PET_hydrolase	NA	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Thermobifida (genus)	Bacteria
